"Marca";"modelo_serie";"Gbs";"Preço";"Referência";"carimbo_de_data_hora";"com_que_frequencia_costuma_jogar_games";"idade_anos";"genero";"estado_de_residencia";"situacao_atual";"grau_de_escolaridade";"qual_plataforma_prefere_usar_para_jogar";"voce_conhece_os_componentes_do_seu_computador_processador_placa_de_video_e_memoria_ram";"quantos_gigabytes_de_memoria_ram";"qual_a_marca_do_seu_processador";"qual_o_modelo_do_processador";"a_maioria_das_suas_pecas_foram_compradas_em";"qual_console_voce_possui";"o_seu_console_mais_recente_foi_comprado_em";"qual_seu_estilo_de_jogo_favorito";"qual_seu_jogo_preferido";"em_media_quanto_costuma_gastar_mensalmente_com_jogos"
"nvidia";"gt 1030";"2 GB";"507.73";"https://produto.mercadolivre.com.br/MLB-946054253-placa-de-video-gigabyte-geforce-gt-1030-lp-2gb-ddr5-64-bits-_JM?quantity=1";2019-06-22 06:30:13;"Frequentemente";17;"Homem";"Ceará – CE";"Não Estuda e Não Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"g4400";"Loja física";NA;NA;"RPG/MMORPG, Sobrevivência";"League of Legends";"Nada"
"nvidia";"gt 1030";"2 GB";"507.73";"https://produto.mercadolivre.com.br/MLB-946054253-placa-de-video-gigabyte-geforce-gt-1030-lp-2gb-ddr5-64-bits-_JM?quantity=1";2019-06-23 01:01:22;"Frequentemente";22;"Homem";"São Paulo – SP";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"AMD";"FX 8300";"Loja virtual";NA;NA;"Corrida, FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência";"Rimworld";"R$101 a R$150"
"nvidia";"gt 8400";"1 GB";"120";"https://produto.mercadolivre.com.br/MLB-873781818-placa-de-video-geforce-8400gs-256-mb-ddr2-pci-e-_JM";2019-06-21 23:21:49;"Regularmente";18;"Homem";"Rio Grande do Sul – RS";"Estuda e Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"4 GB";"Intel";"Core 2 duo";"Loja física";NA;NA;"Aventura, Mundo Aberto, Simulação, Sobrevivência";"Não sei";"Nada"
"nvidia";"gt 9500";"1 GB";"314.90";"https://produto.mercadolivre.com.br/MLB-791679222-placa-de-video-geforce-9500-gt-1gb-ddr3-128bits-low-profile-_JM?matt_tool=31375785&matt_word&gclid=EAIaIQobChMIlpzd44ec4wIVSwSRCh2rZg_iEAYYASABEgL3SPD_BwE&quantity=1";2019-06-21 22:41:46;"Regularmente";17;"Homem";"Paraná – PR";"Só Estuda";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5 2400";"Loja física";NA;NA;"MOBA, RPG/MMORPG";"Perfect World";"Nada"
"nvidia";"gt 9600";"1 GB";"120";"https://produto.mercadolivre.com.br/MLB-1260490282-gts-geforce-9600gt-512mb-com-adaptador-_JM";2019-06-22 00:01:54;"Regularmente";17;"Homem";"Santa Catarina – SC";"Só Estuda";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5 3330";"Loja física";NA;NA;"FPS/TPS, MOBA, Mundo Aberto, Sobrevivência";"Rust e Lol";"R$1 a R$50"
"nvidia";"gtx 650";"1 GB";"381.39";"https://produto.mercadolivre.com.br/MLB-1242808804-placa-de-video-nvidea-gtx650-1-gb-ddr5-128-bits-_JM";2019-06-21 00:55:05;"Frequentemente";21;"Homem";"Minas Gerais – MG";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I3 3200";"Loja física";NA;NA;"Aventura, Esporte, FPS/TPS, MOBA, Sobrevivência";"League of legends";"Nada"
"nvidia";"gtx 750";"1 GB";"299.90";"https://produto.mercadolivre.com.br/MLB-1198567421-gtx-750-1gb-ddr5-128-bits-a-mais-barata-frete-gratis-_JM";2019-06-17 21:28:44;"Frequentemente";24;"Homem";"Rio de Janeiro – RJ";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"12 GB";"Intel";"i5 8400";"Loja virtual";NA;NA;"FPS/TPS, RPG/MMORPG, Simulação";"CS";"Nada"
"nvidia";"gtx 750";"1 GB";"299.90";"https://produto.mercadolivre.com.br/MLB-1198567421-gtx-750-1gb-ddr5-128-bits-a-mais-barata-frete-gratis-_JM";2019-06-21 00:59:16;"Frequentemente";18;"Homem";"Rio Grande do Sul – RS";"Só Estuda";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I3 4170";"Loja virtual";NA;NA;"Aventura, Corrida, FPS/TPS, Luta, Mundo Aberto, RPG/MMORPG";"The Elder Scrolls V: Skyrim";"Nada"
"nvidia";"gtx 750";"1 GB";"299.90";"https://produto.mercadolivre.com.br/MLB-1198567421-gtx-750-1gb-ddr5-128-bits-a-mais-barata-frete-gratis-_JM";2019-06-21 03:51:40;"Frequentemente";27;"Homem";"Sergipe – SE";"Não Estuda e Não Trabalha";"Ensino Fundamental Incompleto";"Desktop (PC de mesa)";"Sim";"16 GB";"Intel";"i5-3330";"Loja física";NA;NA;"ARCADE, Aventura, Corrida, FPS/TPS, Simulação, Sobrevivência, Terror, Indies";"Nao sei bem definir um";"R$1 a R$50"
"nvidia";"gtx 760";"2 GB";"497.98";"https://produto.mercadolivre.com.br/MLB-1240450200-geforce-gtx-760-2gb-drr5-256bits-3-fans-gigabyte-semi-nova-_JM?quantity=1";2019-06-18 12:04:48;"Frequentemente";20;"Homem";"Rio de Janeiro – RJ";"Só Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"6 GB";"Intel";"i5 3200";"Loja física";NA;NA;"FPS/TPS, Mundo Aberto, Simulação, Sobrevivência";"Battlefield";"Nada"
"nvidia";"gtx 950";"2 GB";"399.99";"https://produto.mercadolivre.com.br/MLB-1262648119-geforce-gtx-950-2-gb-original-_JM?quantity=1";2019-06-20 21:53:23;"Frequentemente";21;"Homem";"Rio de Janeiro – RJ";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I7 3770";"Loja virtual";NA;NA;"FPS/TPS";"Csgo e pubg";"Nada"
"nvidia";"gtx 950";"2 GB";"399.99";"https://produto.mercadolivre.com.br/MLB-1262648119-geforce-gtx-950-2-gb-original-_JM?quantity=1";2019-06-20 23:06:46;"Regularmente";15;"Homem";"Rio Grande do Sul – RS";"Só Estuda";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i7 2600k";"Loja virtual";NA;NA;"Aventura, Esporte, FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência";"dead by daylight";"R$1 a R$50"
"nvidia";"gtx 950";"2 GB";"399.99";"https://produto.mercadolivre.com.br/MLB-1262648119-geforce-gtx-950-2-gb-original-_JM?quantity=1";2019-06-23 08:14:03;"Regularmente";23;"Mulher";"São Paulo – SP";"Só Trabalha";"Ensino Superior Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I3 6300";"Loja virtual";NA;NA;"Aventura, Luta, Mundo Aberto, RPG/MMORPG";"Wow";"R$1 a R$50"
"nvidia";"gtx 960";"4 GB";"1290";"https://produto.mercadolivre.com.br/MLB-851436194-geforce-evga-gtx-960-4gb-superclock-gaming-ddr5-128bits-_JM";2019-06-17 22:33:36;"Regularmente";19;"Homem";"Pernambuco – PE";"Só Estuda";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I5 4460";"Loja virtual";NA;NA;"FPS/TPS, Mundo Aberto, RPG/MMORPG";"The Witcher 3";"R$1 a R$50"
"nvidia";"gtx 960";"4 GB";"1290";"https://produto.mercadolivre.com.br/MLB-851436194-geforce-evga-gtx-960-4gb-superclock-gaming-ddr5-128bits-_JM";2019-06-17 23:56:14;"Regularmente";21;"Homem";"Rio de Janeiro – RJ";"Estuda e Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"AMD";"FX 6300";"Loja física";NA;NA;"Corrida, FPS/TPS, MOBA, Mundo Aberto";"League of Legends";"R$1 a R$50"
"nvidia";"gtx 960";"4 GB";"1290";"https://produto.mercadolivre.com.br/MLB-851436194-geforce-evga-gtx-960-4gb-superclock-gaming-ddr5-128bits-_JM";2019-06-18 19:06:07;"Frequentemente";22;"Mulher";"Rio de Janeiro – RJ";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5";"Loja virtual";NA;NA;"Mundo Aberto, RPG/MMORPG";"Dragon Age: Origins";"R$1 a R$50"
"nvidia";"gtx 960";"4 GB";"1290";"https://produto.mercadolivre.com.br/MLB-851436194-geforce-evga-gtx-960-4gb-superclock-gaming-ddr5-128bits-_JM";2019-06-20 18:05:06;"Regularmente";19;"Homem";"São Paulo – SP";"Só Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"mais de 16 GB";"Intel";"Xeon® E5-2650 v2";"Loja virtual";NA;NA;"FPS/TPS, Mundo Aberto, RPG/MMORPG, Sobrevivência";"CS-GO,RUST,MINECRFAT,ARK";"R$1 a R$50"
"nvidia";"gtx 960";"4 GB";"1290";"https://produto.mercadolivre.com.br/MLB-851436194-geforce-evga-gtx-960-4gb-superclock-gaming-ddr5-128bits-_JM";2019-06-22 02:43:08;"Frequentemente";16;"Homem";"Paraná – PR";"Só Estuda";"Ensino Fundamental Incompleto";"Desktop (PC de mesa)";"Sim";"6 GB";"AMD";"Amd a6 6400k";"Loja física";NA;NA;"ARCADE, Aventura, FPS/TPS, Mundo Aberto, RPG/MMORPG, Sobrevivência";"Skyrim";"R$151 a R$200"
"nvidia";"gtx 960";"4 GB";"1290";"https://produto.mercadolivre.com.br/MLB-851436194-geforce-evga-gtx-960-4gb-superclock-gaming-ddr5-128bits-_JM";2019-06-22 16:08:48;"Frequentemente";18;"Homem";"Rio Grande do Norte – RN";"Só Estuda";"Ensino Fundamental Completo";"Desktop (PC de mesa)";"Sim";"4 GB";"Intel";"Intel I7 8400";"Loja virtual";NA;NA;"Aventura, FPS/TPS, Luta, Mundo Aberto, Simulação, Sobrevivência";"Don't Starve Together";"R$1 a R$50"
"nvidia";"gtx 960";"4 GB";"1290";"https://produto.mercadolivre.com.br/MLB-851436194-geforce-evga-gtx-960-4gb-superclock-gaming-ddr5-128bits-_JM";2019-06-22 19:35:50;"Frequentemente";15;"Homem";"Distrito Federal – DF";"Só Estuda";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I5 7400";"Loja física";NA;NA;"Aventura, FPS/TPS, Mundo Aberto, Sobrevivência";"Rust,csgo";"R$1 a R$50"
"nvidia";"gtx 960";"4 GB";"1290";"https://produto.mercadolivre.com.br/MLB-851436194-geforce-evga-gtx-960-4gb-superclock-gaming-ddr5-128bits-_JM";2019-06-23 16:00:20;"Frequentemente";23;"Homem";"Amazonas – AM";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"12 GB";"AMD";"Phenom II x4 970";"Loja virtual";NA;NA;"Aventura, Mundo Aberto, RPG/MMORPG";"World of Warcraft";"R$1 a R$50"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-17 21:29:35;"Frequentemente";21;"Homem";"Rio de Janeiro – RJ";"Só Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"16 GB";"Intel";"i5 8400";"Loja virtual";NA;NA;"Aventura, FPS/TPS, Mundo Aberto, RPG/MMORPG, Sobrevivência";"Rust";"R$1 a R$50"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-17 21:38:12;"Frequentemente";22;"Mulher";"Rio de Janeiro – RJ";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"AMD";"fx8320e";"Loja virtual";NA;NA;"FPS/TPS, Mundo Aberto, RPG/MMORPG, Simulação, Sobrevivência";"Dante's Inferno";"R$1 a R$50"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-20 17:58:53;"Frequentemente";13;"Homem";"Rio Grande do Sul – RS";"Estuda e Trabalha";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"AMD";"Fx 6300";"Loja virtual";NA;NA;"Esporte, FPS/TPS, Mundo Aberto, Simulação";"Fivem";"Nada"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-20 18:48:15;"Regularmente";30;"Homem";"São Paulo – SP";"Estuda e Trabalha";"Ensino Superior Completo";"Notebook";"Sim";"8 GB";"Intel";"i5";"Loja virtual";NA;NA;"Corrida, Esporte, FPS/TPS";"CS : GO";"Nada"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-20 19:00:49;"Frequentemente";23;"Mulher";"São Paulo – SP";"Estuda e Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"16 GB";"Intel";"i7 9700k";"Loja virtual";NA;NA;"Aventura, FPS/TPS, Mundo Aberto, RPG/MMORPG, Sobrevivência, Terror";"CS:GO";"R$1 a R$50"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-21 00:10:29;"Regularmente";18;"Homem";"São Paulo – SP";"Só Estuda";"Ensino Médio Completo";"Notebook";"Sim";"8 GB";"Intel";"I7";"Loja física";NA;NA;"FPS/TPS";"Cs";"Nada"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-21 15:13:23;"Frequentemente";17;"Homem";"Minas Gerais – MG";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"AMD";"AMD a8 7600";"Loja virtual";NA;NA;"FPS/TPS";"Cs";"Nada"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-22 14:00:51;"Frequentemente";19;"Homem";"Rio de Janeiro – RJ";"Só Estuda";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"12 GB";"Intel";"i3 4160";"Loja física";NA;NA;"FPS/TPS";"CS:GO";"R$1 a R$50"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-22 19:28:39;"Regularmente";24;"Homem";"Goiás – GO";"Só Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I5 650";"Loja física";NA;NA;"FPS/TPS, Mundo Aberto, Terror";"Rust, Rainbow six.";"R$51 a R$100"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-23 00:32:23;"Frequentemente";18;"Homem";"Paraná – PR";"Não Estuda e Não Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i3 6100";"Loja virtual";NA;NA;"Aventura, FPS/TPS, MOBA, Mundo Aberto, RPG/MMORPG";"sekiro";"R$51 a R$100"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-23 08:25:03;"Frequentemente";14;"Homem";"Espírito Santo – ES";"Só Estuda";"Ensino Fundamental Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I5 4400";"Loja virtual";NA;NA;"FPS/TPS, RPG/MMORPG";"League of Legends";"R$51 a R$100"
"nvidia";"gtx 960";"2 GB";"799.50";"https://produto.mercadolivre.com.br/MLB-1204295191-placa-de-video-asus-gtx-960-strix-gtx960-dc2oc-2gd5-2gb-_JM";2019-06-23 20:10:15;"Regularmente";21;"Homem";"Rio de Janeiro – RJ";"Estuda e Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5 4440";"Loja física";NA;NA;"Aventura, FPS/TPS, MOBA, Sobrevivência, Terror";"Apex Legends";"Nada"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-17 21:44:53;"Regularmente";21;"Homem";"Goiás – GO";"Só Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"16 GB";"AMD";"AMD FX 8320";"Loja física";NA;NA;"Mundo Aberto, RPG/MMORPG, Simulação, RTS";"Total War: Warhammer, Stellaris, MOUNT & BLADE";"R$51 a R$100"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-17 23:08:37;"Raramente";18;"Homem";"Rio de Janeiro – RJ";"Estuda e Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I54440";"Loja física";NA;NA;"Corrida, FPS/TPS, Mundo Aberto, Simulação, Sobrevivência";"Battlefield";"Nada"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-18 13:06:39;"Regularmente";22;"Homem";"Rio de Janeiro – RJ";"Estuda e Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"I5 3330";"Loja virtual";NA;NA;"RPG/MMORPG";"RPG";"R$101 a R$150"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-20 18:01:00;"Frequentemente";15;"Homem";"Goiás – GO";"Só Estuda";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"AMD";"r3 1200";"Loja virtual";NA;NA;"FPS/TPS";"csgo";"R$51 a R$100"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-20 18:25:09;"Raramente";24;"Homem";"Paraná – PR";"Estuda e Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5 4590";"Loja virtual";NA;NA;"Corrida, FPS/TPS, RPG/MMORPG";"CS";"R$1 a R$50"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-20 19:32:56;"Frequentemente";19;"Homem";"Ceará – CE";"Estuda e Trabalha";"Ensino Médio Incompleto";"Desktop (PC de mesa)";"Sim";"16 GB";"Intel";"i5-8400";"Loja virtual";NA;NA;"ARCADE, Corrida, Esporte, FPS/TPS, Mundo Aberto, Simulação, Sobrevivência";"CS:GO";"R$1 a R$50"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-21 02:06:38;"Frequentemente";18;"Homem";"São Paulo – SP";"Não Estuda e Não Trabalha";"Ensino Médio Completo";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5 4440";"Loja virtual";NA;NA;"Aventura, FPS/TPS, Mundo Aberto, Sobrevivência";"cs go";"R$1 a R$50"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-21 21:04:47;"Frequentemente";21;"Homem";"Distrito Federal – DF";"Estuda e Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"8 GB";"Intel";"i5 3350P 3.1 GHz quad core";"Loja virtual";NA;NA;"FPS/TPS, RPG/MMORPG, Simulação";"War Thunder";"R$1 a R$50"
"nvidia";"gtx 970";"4 GB";"2651.50";"https://produto.mercadolivre.com.br/MLB-1250251538-placa-de-video-gtx-970-oc-4gb-gddr5-vga-asus-nvidia-geforce-_JM";2019-06-22 06:29:30;"Frequentemente";24;"Homem";"São Paulo – SP";"Estuda e Trabalha";"Ensino Superior Incompleto";"Desktop (PC de mesa)";"Sim";"16 GB";"Intel";"i73770k";"Loja virtual";NA;NA;"FPS/TPS";"BF4";"Nada"
